,School Type,School Size,Total School Budget,Per Student Budget,Average Math Score,Average Reading Score,% Passing Math,% Passing Reading,% Overall Passing Rate
Rodriguez High School,District,"3,999","$2,547,363.00",$637.00,76.84271067766942,80.74468617154288,66.36659164791197,80.22005501375344,73.2933233308327
Figueroa High School,District,"2,949","$1,884,411.00",$639.00,76.71176670057646,81.15801966768396,65.98847066802306,80.73923363852154,73.36385215327229
Huang High School,District,"2,917","$1,910,635.00",$655.00,76.62941378128214,81.18272197463148,65.68392183750429,81.31642098045938,73.50017140898183
Johnson High School,District,"4,761","$3,094,650.00",$650.00,77.07246376811594,80.96639361478681,66.0575509346776,81.2224322621298,73.6399915984037
Ford High School,District,"2,739","$1,763,916.00",$644.00,77.10259218692954,80.74625775830594,68.3096020445418,79.29901423877328,73.80430814165754
Hernandez High School,District,"4,635","$3,022,020.00",$652.00,77.28975188781014,80.9344120819849,66.7529665587918,80.86299892125135,73.80798274002157
Bailey High School,District,"4,976","$3,124,928.00",$628.00,77.04843247588424,81.03396302250803,66.68006430868168,81.93327974276528,74.30667202572349
Holden High School,Charter,427,"$248,087.00",$581.00,83.80327868852459,83.81498829039812,92.50585480093677,96.25292740046838,94.37939110070258
Shelton High School,Charter,"1,761","$1,056,600.00",$600.00,83.3594548551959,83.72572402044293,93.8671209540034,95.85462805224304,94.86087450312323
Wright High School,Charter,"1,800","$1,049,400.00",$583.00,83.68222222222222,83.955,93.33333333333333,96.61111111111111,94.97222222222223
Wilson High School,Charter,"2,283","$1,319,574.00",$578.00,83.2742006132282,83.98948751642575,93.8677179150241,96.53964082347788,95.20367936925099
Griffin High School,Charter,"1,468","$917,500.00",$625.00,83.35149863760218,83.816757493188,93.39237057220708,97.13896457765668,95.26566757493188
Pena High School,Charter,962,"$585,858.00",$609.00,83.83991683991684,84.04469854469855,94.5945945945946,95.94594594594594,95.27027027027026
Thomas High School,Charter,"1,635","$1,043,130.00",$638.00,83.4183486238532,83.84892966360856,93.27217125382263,97.30886850152906,95.29051987767585
Cabrera High School,Charter,"1,858","$1,081,356.00",$582.00,83.06189451022605,83.97578040904197,94.1334768568353,97.03982777179763,95.58665231431647
